restaurant_id,dish_id,order_date,quantity,restaurant_name,location,cuisine,partner_id,dish_name,category,price,partner_name,rating
296,22,2025-01-17,1,Moon-Heath,New Tamara,Italian,1,both,Dessert,7,Hall and Sons,4.0
41,168,2025-02-17,2,"Chapman, Peters and Moore",Priceberg,Italian,22,on,Main,19,Garner-Russo,4.2
111,234,2025-01-12,1,Arnold PLC,Justinport,Indian,10,head,Appetizer,35,"Garcia, King and Rodriguez",2.4
123,181,2025-01-28,1,"Hawkins, Davis and Brown",Batesmouth,Chinese,19,program,Main,15,Lara and Sons,2.0
235,256,2025-01-30,3,Reyes-Lee,Jennamouth,Indian,13,employee,Main,27,Carson and Sons,4.4
133,360,2025-02-18,4,"Vargas, Nelson and Thomas",Watsonchester,Chinese,18,just,Main,37,"Stephens, Allison and Jordan",2.1
178,59,2025-02-15,2,Stafford-Chase,Denniston,Mexican,8,eat,Dessert,42,Barrett-Perkins,1.5
93,380,2025-02-03,2,Simmons Group,North Eric,Italian,26,beautiful,Main,18,"Fuentes, Mcdaniel and Elliott",4.0
281,315,2025-01-04,4,Gray LLC,Melvinmouth,Mexican,30,give,Dessert,12,Miller-Graham,4.9
192,236,2025-01-01,2,Nolan-Nguyen,Collinsfurt,Chinese,1,against,Appetizer,15,Hall and Sons,4.0
205,75,2025-01-18,4,Wilson PLC,Tamaraborough,Chinese,17,take,Dessert,12,Mcdonald Inc,4.7
151,334,2025-02-22,4,Smith-Beasley,New Tanya,Italian,2,within,Dessert,45,Diaz-Hernandez,4.7
129,213,2025-01-18,1,Armstrong LLC,New Robert,Mexican,20,prevent,Dessert,16,Maxwell-Johnson,1.3
222,339,2025-01-10,3,Parker Ltd,Lake John,Chinese,22,director,Main,38,Garner-Russo,4.2
176,236,2025-02-15,3,Miller-Clarke,Elizabethton,Mexican,4,against,Appetizer,15,Donovan-Brock,2.9
260,354,2025-02-14,2,"Wood, Garrett and Gross",Lisaburgh,Mexican,30,him,Dessert,32,Miller-Graham,4.9
153,270,2025-02-13,1,"Stewart, Fletcher and Ramsey",North Heatherton,Mexican,14,writer,Appetizer,17,Koch-Lewis,4.5
57,293,2025-02-18,2,"Wolfe, Mckenzie and Hensley",New Melissamouth,Mexican,24,development,Main,41,Russo-Terry,2.6
235,362,2025-02-20,3,Reyes-Lee,Jennamouth,Indian,13,case,Main,11,Carson and Sons,4.4
101,14,2025-02-21,4,Farmer-Mccall,Davidborough,Indian,7,item,Main,20,Lewis-Randolph,2.6
22,119,2025-01-21,4,"Duffy, Hill and Logan",North Linda,Chinese,3,work,Main,44,Rojas-Duncan,2.4
212,349,2025-01-05,1,"Lucas, Aguilar and Taylor",New Nancychester,Italian,17,effort,Main,29,Mcdonald Inc,4.7
84,40,2025-01-04,4,"Cunningham, Turner and Gomez",North Beverlyview,Chinese,28,top,Main,45,"Edwards, Young and Lynch",4.8
135,265,2025-01-09,1,Green and Sons,Schultzmouth,Chinese,17,them,Dessert,25,Mcdonald Inc,4.7
23,232,2025-01-15,1,Martinez-Diaz,Port Amandafort,Indian,30,my,Main,24,Miller-Graham,4.9
